id_fantacalcio,squadra,nome,ruolo,fascia,source
5841,Roma,Svilar,P,SUPER_TOP,SOS Fanta guida portieri 2026/27 fornita dall'utente
4312,Milan,Maignan,P,TOP,SOS Fanta guida portieri 2026/27 fornita dall'utente
5116,Inter,Martinez Jo.,P,TOP,SOS Fanta guida portieri 2026/27 fornita dall'utente
4431,Atalanta,Carnesecchi,P,TOP,SOS Fanta guida portieri 2026/27 fornita dall'utente
6966,Como,Butez,P,TOP,SOS Fanta guida portieri 2026/27 fornita dall'utente
4964,Juventus,Vicario,P,TOP,SOS Fanta guida portieri 2026/27 fornita dall'utente
572,Napoli,Meret,P,SEMITOP,SOS Fanta guida portieri 2026/27 fornita dall'utente
2521,Fiorentina,De Gea,P,FASCIA_ALTA,SOS Fanta guida portieri 2026/27 fornita dall'utente
133,Bologna,Skorupski,P,FASCIA_ALTA,SOS Fanta guida portieri 2026/27 fornita dall'utente
6482,Lazio,Mandas,P,FASCIA_ALTA,SOS Fanta guida portieri 2026/27 fornita dall'utente
6462,Udinese,Okoye,P,FASCIA_ALTA,SOS Fanta guida portieri 2026/27 fornita dall'utente
2170,Napoli,Milinkovic-Savic V.,P,JOLLY_1,SOS Fanta guida portieri 2026/27 fornita dall'utente
2814,Inter,Provedel,P,JOLLY_1,SOS Fanta guida portieri 2026/27 fornita dall'utente
4360,Cagliari,Caprile,P,FASCIA_MEDIA,SOS Fanta guida portieri 2026/27 fornita dall'utente
2134,Lecce,Falcone,P,FASCIA_MEDIA,SOS Fanta guida portieri 2026/27 fornita dall'utente
7332,Genoa,Bijlow,P,SOPRA_LOW_COST,SOS Fanta guida portieri 2026/27 fornita dall'utente
7411,Parma,Daffara,P,JOLLY_2,SOS Fanta guida portieri 2026/27 fornita dall'utente
218,Juventus,Perin,P,JOLLY_2,SOS Fanta guida portieri 2026/27 fornita dall'utente
7337,Lazio,Motta,P,JOLLY_2,SOS Fanta guida portieri 2026/27 fornita dall'utente
4236,Sassuolo,Muric,P,LOW_COST_1,SOS Fanta guida portieri 2026/27 fornita dall'utente
6662,Parma,Corvi,P,LOW_COST_1,SOS Fanta guida portieri 2026/27 fornita dall'utente
6248,Venezia,Stankovic F.,P,LOW_COST_2,SOS Fanta guida portieri 2026/27 fornita dall'utente
4485,Monza,Thiam,P,LEGHE_NUMEROSE,SOS Fanta guida portieri 2026/27 fornita dall'utente
6415,Frosinone,Palmisani,P,LEGHE_NUMEROSE,SOS Fanta guida portieri 2026/27 fornita dall'utente
7463,Frosinone,Desplanches,P,JOLLY_3,SOS Fanta guida portieri 2026/27 fornita dall'utente
4867,Sassuolo,Turati,P,JOLLY_3,SOS Fanta guida portieri 2026/27 fornita dall'utente
254,Inter,Dimarco,D,SUPER_TOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
7181,Roma,Wesley,D,TOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
5982,Inter,Spence,D,TOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
2788,Juventus,Bremer,D,TOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
2120,Inter,Bastoni,D,TOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
5022,Milan,Pavlovic,D,TOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
6956,Udinese,Solet,D,TOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
4159,Inter,Akanji,D,SEMITOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
2514,Inter,Stones,D,SEMITOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
4998,Roma,Molina N.,D,SEMITOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
2816,Napoli,Di Lorenzo,D,SEMITOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
5833,Milan,Gila,D,SEMITOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
4409,Napoli,Rrahmani,D,SEMITOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
2296,Roma,Mancini,D,SOTTO_SEMITOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
4976,Juventus,Kalulu,D,SOTTO_SEMITOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
5520,Juventus,Cambiaso,D,SOTTO_SEMITOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
554,Atalanta,Zappacosta,D,SOTTO_SEMITOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
1852,Napoli,Spinazzola,D,SOTTO_SEMITOP,SOS Fanta guida difensori 2026/27 fornita dall'utente
4317,Roma,N'Dicka,D,FASCIA_ALTA,SOS Fanta guida difensori 2026/27 fornita dall'utente
6217,Inter,Bisseck,D,FASCIA_ALTA,SOS Fanta guida difensori 2026/27 fornita dall'utente
6869,Como,Ramon,D,FASCIA_ALTA,SOS Fanta guida difensori 2026/27 fornita dall'utente
5877,Inter,Carlos Augusto,D,JOLLY_1,SOS Fanta guida difensori 2026/27 fornita dall'utente
4657,Juventus,Celik,D,JOLLY_1,SOS Fanta guida difensori 2026/27 fornita dall'utente
5641,Como,Chalobah T.,D,POSSIBILE_SORPRESA,SOS Fanta guida difensori 2026/27 fornita dall'utente
