squadra,nome,tipo,priorita
Atalanta,Scamacca,RIGORI,1
Atalanta,Samardzic,RIGORI,2
Atalanta,Samardzic,PUNIZIONI,1
Atalanta,Gaetano,PUNIZIONI,2
Atalanta,Samardzic,CORNER,1
Atalanta,Gaetano,CORNER,2
Bologna,Orsolini,RIGORI,1
Bologna,Dovbyk,RIGORI,2
Bologna,Orsolini,PUNIZIONI,1
Bologna,Bernardeschi,PUNIZIONI,2
Bologna,Orsolini,CORNER,1
Bologna,Bernardeschi,CORNER,2
Cagliari,Nzola,RIGORI,1
Cagliari,Fazzini,RIGORI,2
Cagliari,Deiola,RIGORI,3
Cagliari,Maldini,PUNIZIONI,1
Cagliari,Fazzini,PUNIZIONI,2
Cagliari,Fazzini,CORNER,1
Cagliari,Obert,CORNER,2
Como,Da Cunha,RIGORI,1
Como,Kean,RIGORI,2
Como,Nico Paz,RIGORI,3
Como,Douvikas,RIGORI,4
Como,Baturina,RIGORI,5
Como,Nico Paz,PUNIZIONI,1
Como,Milla,PUNIZIONI,2
Como,Milla,CORNER,1
Como,Baturina,CORNER,2
Fiorentina,Mastantuono,RIGORI,1
Fiorentina,Pellegrino M.,RIGORI,2
Fiorentina,Beto,RIGORI,3
Fiorentina,Mastantuono,PUNIZIONI,1
Fiorentina,Fagioli,PUNIZIONI,2
Fiorentina,Goncalves,PUNIZIONI,3
Fiorentina,Mastantuono,CORNER,1
Fiorentina,Fagioli,CORNER,2
Fiorentina,Goncalves,CORNER,3
Fiorentina,Jimenez,CORNER,4
Frosinone,Schmid,RIGORI,1
Frosinone,Calò,RIGORI,2
Frosinone,Bobcek,RIGORI,3
Frosinone,Calò,PUNIZIONI,1
Frosinone,Ghedjemis,PUNIZIONI,2
Frosinone,Calò,CORNER,1
Frosinone,Ghedjemis,CORNER,2
Genoa,Colombo,RIGORI,1
Genoa,Messias,RIGORI,2
Genoa,Baldanzi,PUNIZIONI,1
Genoa,Messias,PUNIZIONI,2
Genoa,Mitaj,CORNER,1
Genoa,Baldanzi,CORNER,2
Inter,Calhanoglu,RIGORI,1
Inter,Zielinski,RIGORI,2
Inter,Calhanoglu,PUNIZIONI,1
Inter,Dimarco,PUNIZIONI,2
Inter,Calhanoglu,CORNER,1
Inter,Dimarco,CORNER,2
Juventus,Kolo Muani,RIGORI,1
Juventus,Locatelli,RIGORI,2
Juventus,Woltemade,RIGORI,3
Juventus,Yildiz,RIGORI,4
Juventus,Yildiz,PUNIZIONI,1
Juventus,Cambiaso,PUNIZIONI,2
Juventus,Yildiz,CORNER,1
Juventus,Cambiaso,CORNER,2
Juventus,Locatelli,CORNER,3
Juventus,Koopmeiners,CORNER,4
Lazio,Zaccagni,RIGORI,1
Lazio,Kenneth Taylor,RIGORI,2
Lazio,Pinamonti,RIGORI,3
Lazio,Zaccagni,PUNIZIONI,1
Lazio,Gudmundsson,PUNIZIONI,2
Lazio,Cataldi,PUNIZIONI,3
Lazio,Taylor,PUNIZIONI,4
Lazio,Rovella,PUNIZIONI,5
Lazio,Zaccagni,CORNER,1
Lazio,Taylor,CORNER,2
Lecce,Geubbels,RIGORI,1
Lecce,Stulic,RIGORI,2
Lecce,Gallo,PUNIZIONI,2
Lecce,Berisha,PUNIZIONI,3
Lecce,Pierotti,PUNIZIONI,4
Lecce,Gallo,CORNER,2
Lecce,Berisha,CORNER,3
Lecce,Pierotti,CORNER,4
Milan,Gonçalo Ramos,RIGORI,1
Milan,Pulisic,RIGORI,2
Milan,Modric,RIGORI,3
Milan,Modric,PUNIZIONI,1
Milan,Pulisic,PUNIZIONI,2
Milan,Modric,CORNER,1
Milan,Pulisic,CORNER,2
Monza,Pessina,RIGORI,1
Monza,Cutrone,RIGORI,2
Monza,Colpani,PUNIZIONI,1
Monza,Pessina,PUNIZIONI,2
Monza,Pessina,CORNER,1
Monza,Colpani,CORNER,2
Napoli,De Bruyne,RIGORI,1
Napoli,Højlund,RIGORI,2
Napoli,De Bruyne,PUNIZIONI,1
Napoli,Politano,PUNIZIONI,2
Napoli,De Bruyne,CORNER,1
Napoli,Politano,CORNER,2
